items_edmPreview,items_title,items_country,items_dataProvider,items_type,items_id,items_edmTimespanLabelLangAware_def,items_dcCreator
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=https%3A%2F%2Fwww.filmportal.de%2Fsites%2Fdefault%2Ffiles%2F8866DD4D27434168A16DAFD09854FE1E_1-003928.jpg&size=LARGE&type=IMAGE,Michel Piccoli,germany,Deutsches Filminstitut - DIF,IMAGE,/08604/8866DD4D27434168A16DAFD09854FE1E_1_003928,1976,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F3171%2Fraw.png&size=LARGE&type=IMAGE,Ep. 12; Jacques Dutronc 2 Afl 12; Jacques Dutronc SERIES TITLE: Fanclub Fanclub,europe,Netherlands Institute for Sound and Vision,IMAGE,/2051943/EUS_D12619F597394F0C968C48D2275FED37,1966,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F3142%2Fraw.png&size=LARGE&type=IMAGE,Ep. 12; Jacques Dutronc 4 Afl 12; Jacques Dutronc 3 SERIES TITLE: Fanclub Fanclub,europe,Netherlands Institute for Sound and Vision,IMAGE,/2051943/EUS_AB9610BE7DF248ABA28244BEB3DFD3E2,1966,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F2195%2Fraw.png&size=LARGE&type=IMAGE,Ep. 12; Jacques Dutronc and cameras Afl 12; Jacques Dutronc en camera's SERIES TITLE: Fanclub Fanclub,europe,Netherlands Institute for Sound and Vision,IMAGE,/2051943/EUS_88E1AE12104F4EA5990A32B5CE54F60C,1966,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F1291%2Fraw.png&size=LARGE&type=IMAGE,Ep. 12; Jacques Dutronc and camera Afl 12; Jacques Dutronc en camera SERIES TITLE: Fanclub Fanclub,europe,Netherlands Institute for Sound and Vision,IMAGE,/2051943/EUS_4FB576B2FA534554912D13C68D6B9574,1966,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F3254%2Fraw.png&size=LARGE&type=IMAGE,Ep. 12; Jacques Dutronc Afl 12; Jacques Dutronc SERIES TITLE: Fanclub Fanclub,europe,Netherlands Institute for Sound and Vision,IMAGE,/2051943/EUS_4E1CB045782448E39AC3A810E6A97ED2,1966,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F1329%2Fraw.png&size=LARGE&type=IMAGE,Ep. 12; Jacques Dutronc with Judith Bosch Afl 12; Jacques Dutronc met Judith Bosch SERIES TITLE: Fanclub Fanclub,europe,Netherlands Institute for Sound and Vision,IMAGE,/2051943/EUS_217AA2CB436B4B63ABB2C1D53AAB3C2C,1966,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fimages1.noterik.com%2Fedna%2Fdomain%2Feuscreen%2Fuser%2Feu_bg%2Fpicture%2F2792%2Fraw.png&size=LARGE&type=IMAGE,Ep. 12; Jacques Dutronc 3 Afl 12; Jacques Dutronc 2 SERIES TITLE: Fanclub Fanclub,europe,Netherlands Institute for Sound and Vision,IMAGE,/2051943/EUS_055BAFB09A0A4FC6B767F24682493287,1966,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F457%2F142%2F751b16001743bd2348bdb299bce63ff1%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,La télé de A @ Z n°21 - O comme opportuniste,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_457142,2010,
https://www.europeana.eu/api/v2/thumbnail-by-url.json?uri=http%3A%2F%2Fds1.ds.static.rtbf.be%2F%2Fmedia%2Fvideo%2Fthumbnails%2F190%2F069%2F4%2F884a69152c753e2352e62c8e14280c12%2F%2Fmedium.jpg&size=LARGE&type=VIDEO,La Télé de A@Z : Premier succès (n° 121) - D comme Dutronc Thomas,belgium,RTBF,VIDEO,/2051911/data_euscreenXL_1900694,2014,
